Row	Package Name	Version(s)
1	@ahmedhfarag/ngx-perfect-scrollbar	20.0.20
2	@ahmedhfarag/ngx-virtual-scroller	4.0.4
3	@art-ws/common	2.0.22, 2.0.28
4	@art-ws/config-eslint	2.0.4, 2.0.5
5	@art-ws/config-ts	2.0.7, 2.0.8
6	@art-ws/db-context	2.0.24
7	@art-ws/di	2.0.28, 2.0.32
8	@art-ws/di-node	2.0.13
9	@art-ws/eslint	1.0.5, 1.0.6
10	@art-ws/fastify-http-server	2.0.24, 2.0.27
11	@art-ws/http-server	2.0.21, 2.0.25
12	@art-ws/openapi	0.1.9, 0.1.12
13	@art-ws/package-base	1.0.5, 1.0.6
14	@art-ws/prettier	1.0.5, 1.0.6
15	@art-ws/slf	2.0.15, 2.0.22
16	@art-ws/ssl-info	1.0.9, 1.0.10
17	@art-ws/web-app	1.0.3, 1.0.4
18	@crowdstrike/commitlint	8.1.1, 8.1.2
19	@crowdstrike/falcon-shoelace	0.4.1, 0.4.2
20	@crowdstrike/foundry-js	0.19.1, 0.19.2
21	@crowdstrike/glide-core	0.34.2, 0.34.3
22	@crowdstrike/logscale-dashboard	1.205.1, 1.205.2
23	@crowdstrike/logscale-file-editor	1.205.1, 1.205.2
24	@crowdstrike/logscale-parser-edit	1.205.1, 1.205.2
25	@crowdstrike/logscale-search	1.205.1, 1.205.2
26	@crowdstrike/tailwind-toucan-base	5.0.1, 5.0.2
27	@ctrl/deluge	7.2.1, 7.2.2
28	@ctrl/golang-template	1.4.2, 1.4.3
29	@ctrl/magnet-link	4.0.3, 4.0.4
30	@ctrl/ngx-codemirror	7.0.1, 7.0.2
31	@ctrl/ngx-csv	6.0.1, 6.0.2
32	@ctrl/ngx-emoji-mart	9.2.1, 9.2.2
33	@ctrl/ngx-rightclick	4.0.1, 4.0.2
34	@ctrl/qbittorrent	9.7.1, 9.7.2
35	@ctrl/react-adsense	2.0.1, 2.0.2
36	@ctrl/shared-torrent	6.3.1, 6.3.2
