Package Name,Package Path,Package Version,CHANGELOG Path,Latest NPM Stable,Latest NPM Beta,Match Type
@azure/arm-authorization,sdk/authorization/arm-authorization,10.0.0-beta.2,sdk/authorization/arm-authorization/CHANGELOG.md,9.0.0,10.0.0-beta.2,LATEST_BETA
@azure/arm-authorization-profile-2020-09-01-hybrid,sdk/authorization/arm-authorization-profile-2020-09-01-hybrid,2.1.1,sdk/authorization/arm-authorization-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-healthcareapis,sdk/healthcareapis/arm-healthcareapis,3.1.1,sdk/healthcareapis/arm-healthcareapis/CHANGELOG.md,3.1.1,,LATEST_STABLE
@azure/arm-timeseriesinsights,sdk/timeseriesinsights/arm-timeseriesinsights,2.1.0-beta.3,sdk/timeseriesinsights/arm-timeseriesinsights/CHANGELOG.md,2.0.0,2.1.0-beta.3,LATEST_BETA
@azure/arm-devspaces,sdk/devspaces/arm-devspaces,2.1.1,sdk/devspaces/arm-devspaces/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-machinelearningexperimentation,sdk/machinelearningexperimentation/arm-machinelearningexperimentation,2.0.0-beta.5,sdk/machinelearningexperimentation/arm-machinelearningexperimentation/CHANGELOG.md,1.2.1,2.0.0-beta.5,LATEST_BETA
@azure/arm-datacatalog,sdk/datacatalog/arm-datacatalog,4.1.1,sdk/datacatalog/arm-datacatalog/CHANGELOG.md,4.1.1,,LATEST_STABLE
@azure/arm-scvmm,sdk/scvmm/arm-scvmm,1.0.1,sdk/scvmm/arm-scvmm/CHANGELOG.md,1.0.1,1.0.0-beta.3,LATEST_STABLE
@azure/arm-machinelearningcompute,sdk/machinelearningcompute/arm-machinelearningcompute,3.0.0-beta.4,sdk/machinelearningcompute/arm-machinelearningcompute/CHANGELOG.md,2.1.1,3.0.0-beta.4,LATEST_BETA
@azure/arm-iothub,sdk/iothub/arm-iothub,6.3.1,sdk/iothub/arm-iothub/CHANGELOG.md,6.3.1,6.3.0-beta.3,LATEST_STABLE
@azure/arm-iothub-profile-2020-09-01-hybrid,sdk/iothub/arm-iothub-profile-2020-09-01-hybrid,2.1.1,sdk/iothub/arm-iothub-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-elastic,sdk/elastic/arm-elastic,1.0.1,sdk/elastic/arm-elastic/CHANGELOG.md,1.0.1,1.0.0-beta.3,LATEST_STABLE
@azure-rest/arm-appservice,sdk/appservice/arm-appservice-rest,1.0.0-beta.3,sdk/appservice/arm-appservice-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-appservice-profile-2020-09-01-hybrid,sdk/appservice/arm-appservice-profile-2020-09-01-hybrid,2.1.1,sdk/appservice/arm-appservice-profile-2020-09-01-hybrid/CHANGELOG.md,2.1.1,,LATEST_STABLE
@azure/arm-hybridnetwork,sdk/hybridnetwork/arm-hybridnetwork,1.0.0-beta.2,sdk/hybridnetwork/arm-hybridnetwork/CHANGELOG.md,,1.0.0-beta.2,LATEST_BETA
@azure/arm-marketplaceordering,sdk/marketplaceordering/arm-marketplaceordering,3.1.2,sdk/marketplaceordering/arm-marketplaceordering/CHANGELOG.md,3.1.2,,LATEST_STABLE
@azure/arm-trafficmanager,sdk/trafficmanager/arm-trafficmanager,6.1.1,sdk/trafficmanager/arm-trafficmanager/CHANGELOG.md,6.1.1,6.1.0-beta.1,LATEST_STABLE
@azure/arm-datalake-analytics,sdk/datalake-analytics/arm-datalake-analytics,2.0.0-beta.5,sdk/datalake-analytics/arm-datalake-analytics/CHANGELOG.md,1.1.1,2.0.0-beta.5,LATEST_BETA
@azure/arm-operations,sdk/operationsmanagement/arm-operations,4.0.0-beta.5,sdk/operationsmanagement/arm-operations/CHANGELOG.md,3.0.0,4.0.0-beta.5,LATEST_BETA
@azure/arm-resourcegraph,sdk/resourcegraph/arm-resourcegraph,5.0.0-beta.4,sdk/resourcegraph/arm-resourcegraph/CHANGELOG.md,4.2.1,5.0.0-beta.4,LATEST_BETA
@azure/arm-changes,sdk/changes/arm-changes,1.1.1,sdk/changes/arm-changes/CHANGELOG.md,1.1.1,,LATEST_STABLE
@azure/arm-digitaltwins,sdk/digitaltwins/arm-digitaltwins,3.3.1,sdk/digitaltwins/arm-digitaltwins/CHANGELOG.md,3.3.1,3.1.0-beta.1,LATEST_STABLE
@azure/iot-modelsrepository,sdk/iot/iot-modelsrepository,1.0.0-beta.3,sdk/iot/iot-modelsrepository/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
@azure/arm-orbital,sdk/orbital/arm-orbital,2.0.1,sdk/orbital/arm-orbital/CHANGELOG.md,2.0.1,1.0.0-beta.3,LATEST_STABLE
@azure/arm-deviceupdate,sdk/deviceupdate/arm-deviceupdate,1.2.1,sdk/deviceupdate/arm-deviceupdate/CHANGELOG.md,1.2.1,1.0.0-beta.2,LATEST_STABLE
@azure-rest/iot-device-update,sdk/deviceupdate/iot-device-update-rest,1.1.1,sdk/deviceupdate/iot-device-update-rest/CHANGELOG.md,1.1.1,1.0.0-beta.2,LATEST_STABLE
@azure-rest/arm-compute,sdk/compute/arm-compute-rest,1.0.0-beta.3,sdk/compute/arm-compute-rest/CHANGELOG.md,,1.0.0-beta.3,LATEST_BETA
